Sintering Temperature (°C),Heating Rate (°C/min),Holding Time (min),Cooling Rate (°C/min),Relative Density (%),Micro Hardness (Hv),Nano Hardness (GPa),Modulus of Elasticity (GPa),Stiffness (mN/nm),Plasticity Index,is_real
800,110,20,80,99.6675153135437,564.0382543577094,9.527291680326874,349.87266898773856,2.4982285279460994,0.04,0
900,90,20,100,99.80765138677309,527.2780651612377,9.55754378654213,354.87222064020875,2.830417091780923,0.008,0
1150,100,20,100,99.9891939239495,558.3257811063747,9.739621020293455,362.58301472617575,2.814443133725209,0.04,0
950,80,10,110,99.23054357413643,527.2925832381303,9.868775376412083,348.7972070334154,2.650596477719546,0.04,0
850,120,30,80,100.0,533.8490434105796,10.069216114656962,365.2764874456385,2.6626691859865694,0.008,0
1100,120,25,110,99.88651376806791,546.284563558507,9.77565369572392,350.92838693892537,2.735759994350042,0.018011628570245873,0
900,120,15,80,99.28383148176249,540.8226576445005,9.304599874431691,357.21059907246644,2.517706585050663,0.008,0
900,110,30,100,100.0,545.4781325171199,9.993749602192645,357.71848225122704,2.562565231265139,0.008,0
800,100,10,90,98.51130694707177,521.0844240913945,9.067822276548295,340.8094453271322,2.444778105432964,0.018723911239679723,0
1100,120,20,100,99.86304370049953,546.4184613531141,9.564521850983812,350.8481058539732,2.528534942491722,0.04,0
800,90,25,120,99.5297868692551,561.0184747552115,9.545403203638237,348.64680560999955,2.549932269570329,0.039457135030206134,0
900,120,25,90,99.97001151473044,532.4612997977591,9.73640333533659,344.7118396963965,2.8416301806017086,0.04,0
1100,120,25,110,100.0,546.2866251745709,9.758041163022648,350.82928805708667,2.6528778174081284,0.008,0
800,90,10,120,99.37822807745407,515.8643455052262,9.30336789381223,340.5918862475939,2.503317168547749,0.04,0
1050,120,10,80,99.0905225308958,521.887999829246,9.62880943618771,341.6412297284304,2.616887827345628,0.04,0
900,90,20,100,99.77521822385751,527.2688879090628,9.415171845414983,354.8707047609799,2.733100398475932,0.04,0
900,90,25,80,99.78383444462798,548.8611391492086,9.4080694159211,344.40361717993255,2.7039766763408757,0.04,0
1050,90,20,100,99.91909068820685,510.437386429823,9.888408241284903,344.0463165642649,2.4982816620289445,0.008,0
1050,110,25,90,99.98258854120895,535.4794781528897,10.01376764868117,350.70884637781,2.690038061443685,0.008,0
1150,110,30,90,99.93898785197545,553.0129048518492,9.729056246405396,355.8428887650769,2.870973813190872,0.008,0
1000,100,10,90,99.43795390805552,559.8302076349813,9.534069661560595,344.762842412714,2.489621555013169,0.04,0
1050,120,15,80,99.73310969859303,533.692738455503,9.508356224020241,347.8784505392945,2.5451946951198114,0.01576832855235953,0
1000,100,15,80,99.32129301054779,510.0078244533484,9.6269561638903,347.1679546753139,2.5874352648432017,0.008,0
900,90,25,80,99.7755886569806,548.8107522180844,9.474946851427816,344.4538003940549,2.7076929450106935,0.008,0
1000,100,15,100,99.79517015123024,535.1910877803557,9.656146398319148,353.1977353950448,2.6517685201091252,0.04,0
950,90,10,80,99.66445826374765,550.5791321626871,9.818380536541126,355.4050190959761,2.588106597502322,0.008,0
900,90,20,100,99.84547847331969,527.3230454417646,9.53260077035188,354.8844220956636,2.7857431352339863,0.04,0
1100,110,10,120,99.5503399351555,529.8186998902048,9.484796171731597,349.05501486423094,2.5150371554785975,0.04,0
900,120,25,90,99.88274433032863,532.4470062025357,9.863739646017605,344.64301936805583,2.8150024252505412,0.008,0
1050,100,25,80,99.95930654049609,523.3378962880464,10.028659399727792,348.2231398212856,2.869608822090332,0.008,0
900,80,10,80,99.0937081638419,530.689207369421,9.751333400113227,359.79254701873907,2.6204475650944454,0.04,0
900,80,30,100,99.96774954323905,565.0477771074422,9.731571035450552,363.02369365862216,2.769034855406866,0.008,0
1000,110,30,110,99.98795366003293,554.7493931189613,10.169468905986045,356.1550278742511,2.717550300268304,0.008,0
1100,90,10,80,99.23194400717098,517.5546240592214,9.769307743029847,350.85969074068225,2.537200660573304,0.03550561502409884,0
1100,110,20,110,99.91806357950092,560.192687482338,9.708324793243108,359.781603873602,2.6362502924674938,0.008,0
1150,100,25,120,100.0,563.6317287861765,9.932624108859063,357.74198050829284,2.8681286245072477,0.04,0
1050,120,15,120,99.33085423847189,556.965084806514,9.640730428713448,357.6309102904468,2.6011286561889126,0.016244255350651507,0
800,100,20,90,99.41735951895026,557.9076205047439,9.148850292564267,361.2075741435166,2.4933367211296846,0.008,0
1100,80,25,120,99.91982591815523,562.8800145549792,10.19898873612426,364.162371010307,2.67894961174128,0.008,0
1150,90,30,110,100.0,567.7578884614792,9.769139425508259,370.56215591973347,2.8158501154015,0.008,0
800,80,30,120,100.0,525.1303186017775,9.773952756512315,363.4246973545148,2.7253938589213274,0.04,0
1150,120,25,90,99.91086531700837,548.6158814011003,9.56739574382307,362.99177390147923,2.8163222456611634,0.04,0
850,90,30,90,99.93606745605996,566.0782422688407,9.895238568945159,368.48662871834233,2.7904192107384227,0.008,0
800,110,30,120,100.0,520.6340457922412,9.412262693495762,349.07659090043194,2.89553237434,0.04,0
1150,90,30,100,100.0,583.009288555665,9.981726240564932,364.9667531974744,2.764833540319676,0.02698327768825167,0
1000,80,25,110,99.94409508547736,528.945309058096,9.942843057305915,350.03300786597134,2.556422028732271,0.008,0
1150,80,20,110,99.98584553213533,539.3688091308347,9.413077814025234,344.5057302632437,2.657836020489638,0.008,0
1100,120,25,110,99.94599177668812,546.4169315818045,9.701978255942853,350.8090431202663,2.8345454587328778,0.04,0
1000,100,25,100,99.94402361346995,516.4680439770557,9.57817656558598,361.083063058564,2.630413463161361,0.01919132845145375,0
1000,100,10,90,99.57846910932575,559.9398729486527,9.541099075392669,344.8057745687151,2.514915312352901,0.04,0
1100,120,25,110,100.0,546.3559692715887,9.7496825327084,350.74021621691384,2.7703217491371275,0.035114746772524685,0
800,80,20,120,99.70804663282516,536.9945075413291,9.461829488098036,352.7516569855385,2.6934921200417907,0.04,0
950,80,20,80,99.91052346697724,548.8544116291371,9.937384079174125,345.7582168234926,2.6202815795681462,0.008,0
1200,90,30,80,99.96240353111087,581.5868678910347,10.028593490320043,356.1276902095984,2.849030690543654,0.014651720173122103,0
950,80,10,110,99.11088529402994,527.3181341348715,9.829303945054576,348.9425297413788,2.595067199428673,0.03442509678430215,0
800,80,20,120,99.77461175482154,536.8670294650051,9.459382252590633,352.772331073246,2.701308728575588,0.008,0
800,120,30,110,100.0,532.5024476217878,9.375709373952056,353.2632131085535,2.885161486884417,0.024593395217117245,0
800,110,15,90,99.26000908071818,536.2176522111536,9.474505145704113,352.79985503654814,2.45917757425053,0.04,0
950,120,10,80,98.80302109734107,564.0571976161796,9.529652608320934,348.2041389200968,2.513143905359858,0.02904198560441805,0
950,80,20,80,99.95228125665828,548.8500228886412,9.937563976649948,345.7121820015944,2.633996763424625,0.04,0
1000,110,30,100,100.0,560.5100258849651,9.927196051687583,355.3885504237944,2.747331674104245,0.008,0
900,90,30,90,99.96597956185896,542.3836324477018,9.454295792281766,360.8119110425505,2.734797373424821,0.04,0
800,90,25,120,99.47360723904887,560.9774773966827,9.640673559443101,348.58204780809285,2.5625519067927676,0.008,0
950,90,30,120,100.0,536.6865623611411,10.036394624656774,371.65310790881836,2.682736737917779,0.008,0
950,90,30,120,99.93477293960235,536.5917669101619,9.966970316190787,371.76804942458506,2.8773213765811416,0.008,0
900,110,20,100,99.66392973319695,563.4193559322227,9.389604644754415,349.07078523656594,2.627549694571991,0.009900954513093755,0
1100,90,20,90,99.85675334001202,546.3592317794953,9.45533982607288,346.14270490518226,2.7125414239095025,0.04,0
1050,120,15,120,99.34983565046804,557.0638262860734,9.759664902780377,357.57873375268827,2.52381115847236,0.008,0
1000,100,15,100,99.81472129399312,535.2856915542278,9.617582130277308,353.21925489260093,2.5079619238137174,0.04,0
1050,120,15,120,99.29414303983955,556.9792262238692,9.711621165744974,357.55340554085853,2.631309438905876,0.008,0
1150,80,15,90,99.78971203901972,541.517079047229,9.463635417060631,341.8024631766294,2.6573811999145027,0.008,0
950,80,30,120,100.0,559.0354756726632,10.15518463819331,371.6361516865107,2.6612142574058586,0.015281406095675756,0
800,100,20,90,99.4380669741891,557.9227756142586,9.152140604493844,361.25519620203374,2.561501517232615,0.008,0
1000,120,15,80,99.40453957857352,536.9885084778763,9.24031604022487,342.1807936541624,2.725169681037602,0.008,0
900,120,25,90,99.90564830088768,532.427607670224,9.770127063287566,344.7416604905236,2.868650709843018,0.04,0
1150,90,30,100,100.0,583.105437001037,10.099358483239936,364.94453422676816,2.802798619355968,0.04,0
900,90,30,90,99.90988317811492,542.3658508343281,9.498949798587251,360.8195466533295,2.7253037669936644,0.04,0
1000,90,25,90,99.99641756222215,515.077754774941,9.575785269886756,347.4284043679917,2.640466725513413,0.008,0
1200,120,30,120,99.89577642760776,568.1429841500319,9.953445297278849,360.668930189147,2.6467139372366213,0.032190618756066464,0
1200,100,15,90,99.79684101184571,565.6701279158739,9.519940634597146,352.2719282065335,2.6173533204078185,0.04,0
1100,80,15,80,99.81754054999028,517.8520683162053,10.122347342122582,341.39272662445256,2.698956648479405,0.03968105590663887,0
1200,100,20,110,100.0,551.6136659889505,9.55933042680763,354.87740340145814,2.7076317409152693,0.008,0
850,80,25,90,99.71332179047229,528.9327747530551,9.861834873964805,357.30881771499725,2.6713961827852972,0.01376426849480043,0
1200,110,10,110,99.6882762004322,531.4269711284593,10.006291572669587,344.21540042207874,2.519397445212067,0.008,0
800,90,10,120,99.39338600111533,515.7860265210197,9.322875124617623,340.60413376496933,2.5294803092375857,0.008,0
1200,120,25,110,99.95927577108563,554.8364275349259,10.043018811412795,343.8263646091975,2.7152786373612066,0.04,0
800,90,25,120,99.49636544204297,561.0023216554396,9.646953202690204,348.58667501990624,2.562833321690374,0.008,0
1200,120,20,110,99.98050956352414,530.4675572682702,10.143017319177858,343.0427253159122,2.556829303368915,0.008,0
1000,110,30,110,100.0,554.8136888446893,10.177358399296166,356.2715461012159,2.716762637488431,0.008,0
950,90,15,90,99.50079574910306,536.6966560928355,9.593688306318503,343.83982490797223,2.679291126348827,0.008,0
800,100,10,100,98.41443121495719,532.0525075129436,9.519884560863291,345.9015842711558,2.4568014009462775,0.015213795772973401,0
800,120,30,110,99.99600604556201,532.468953393764,9.360422653315275,353.28269674557663,2.82777213832727,0.018002463688748773,0
1000,110,30,110,99.97376340825286,554.7728546371563,10.219062423895721,356.2560802944193,2.754788871563004,0.04,0
800,100,10,90,98.47757794099235,521.0869504577028,8.962264815076296,340.7316609545147,2.417055101016966,0.04,0
1200,80,15,120,99.81722070040338,567.2606136231349,9.485538345173694,342.6486519838283,2.738621718815582,0.023365691164837707,0
800,90,25,120,99.46985428403724,561.0045694764717,9.586500795099818,348.5078385762938,2.569100202435862,0.04,0
900,100,30,80,100.0,537.1350050039579,10.01359184949024,360.82826809899433,2.698517216039809,0.008442577429075674,0
900,110,20,110,99.71600762444697,549.8062610142371,9.76050448938919,351.368226815967,2.615043567417422,0.037267273595171284,0
900,110,30,100,99.985959943583,545.3172195148361,10.029470378637066,357.74551367111957,2.5828303219640056,0.04,0
800,90,25,120,99.43113553420906,561.0562722337273,9.620105596854202,348.5009611779358,2.57511440186356,0.008,0
950,90,30,120,99.94810474987953,536.687403960244,9.986630275830821,371.71465307290424,2.828827840492256,0.025385941778862553,0
800,100,10,100,98.47708721283414,532.0838470402801,9.539240484638622,345.90627796187016,2.39,0.04,0
1000,100,15,100,99.91208033767863,535.3075191060768,9.689336201666627,353.1978543914774,2.54671588614264,0.008,0
1000,120,15,80,99.39337465466404,537.0026573312279,9.30600046929664,342.1582715804874,2.5933500318492966,0.01957154677813268,0
1150,90,30,100,100.0,583.0285161959805,9.912670495144711,364.9767189865264,2.8950714383049228,0.020937798283115146,0
1100,120,25,120,99.92667927453279,566.4608675827924,9.688072468671175,351.7937929211221,2.580102684429841,0.009674890211799143,0
1150,100,25,120,100.0,563.7242420066159,9.821981305567514,357.7002276420113,2.826893525440264,0.03039070380784005,0
1150,90,30,110,99.98452799259417,567.7961162866286,9.78362139234023,370.57801577439085,2.836624318726392,0.04,0
900,90,25,80,99.87150521571783,548.9163937281915,9.512844388144558,344.49986683051617,2.6429329506243344,0.04,0
950,110,30,120,99.95574324874978,530.5142076216307,9.497012051589266,367.41921841895197,2.826216648272623,0.008,0
850,110,30,110,99.95733290106004,563.9946876366658,10.150930572121545,360.47362447686083,2.64781485288168,0.008,0
800,90,25,120,99.57520423462894,560.9485388063677,9.610265877152674,348.4739879479131,2.5201730813403933,0.04,0
950,90,15,90,99.34625654469387,536.7507145861075,9.676173059081535,343.88239947715005,2.6538715707155824,0.03462281724895136,0
900,120,25,90,99.86799763429565,532.3848307539585,9.766624235481602,344.73693133680814,2.7597920303737933,0.008,0
950,90,30,80,100.0,571.3784880841755,10.127475784892454,350.44284405313675,2.656027002142925,0.04,0
1200,100,30,90,100.0,589.5511935901018,9.936529065634673,356.0768581514209,2.817755000657751,0.024834144822154472,0
900,80,30,110,99.99857355524419,547.0111098168621,9.54040433206487,367.3095573850684,2.721207208257355,0.04,0
1000,110,30,100,99.9260520626366,560.543370467834,9.946227562052195,355.35099686398587,2.791964913397676,0.01859710040778876,0
900,120,25,90,99.8562059689502,532.36084976879,9.820415612167443,344.6667898001908,2.8247893596394578,0.04,0
1150,120,30,100,99.9967593896303,532.4546690697581,9.744015495379708,354.27291119770575,2.8011327938803237,0.04,0
1000,110,25,100,99.94308619627532,542.2839649780034,9.942536724839242,361.9800678773358,2.6027762679301873,0.008,0
1100,90,10,80,99.39980967832747,517.532975686277,9.776060109056537,350.9346288083728,2.5208844596778373,0.04,0
1150,80,15,90,99.80649450470814,541.4916144338273,9.625826171424888,341.81599815800735,2.647108844985965,0.008,0
1000,90,10,100,99.07144299197672,562.9548403062734,9.872052993578484,341.4301998856845,2.5366868619328984,0.04,0
1000,100,25,100,99.93950599970007,516.4870954365182,9.67485752659782,361.03670401179323,2.5818221613501198,0.02320926864431239,0
1000,110,25,100,99.91163404435702,542.309024024176,9.980582037816967,361.90080871574315,2.530981983075501,0.008,0
800,100,30,80,99.9912126485513,533.435566563757,10.167754983535463,349.72377269800205,2.7164196477912155,0.04,0
900,80,30,100,100.0,565.0689720214195,9.66374834669962,363.0236449202635,2.7323897358420703,0.008,0
900,110,20,110,99.69826738698241,549.7691166663126,9.829214958293441,351.24216519833084,2.646079288464698,0.009004762881133284,0
850,90,25,120,99.85710049755609,556.6231035201763,9.617609694432224,355.1607533591679,2.6016700181347536,0.04,0
800,90,20,120,99.67394282680111,554.8031258160266,9.533946191429303,342.99829651723803,2.6223989837736172,0.008,0
800,90,20,120,99.50252408369491,554.7646652395605,9.583059552654506,342.967247744078,2.5904210304319255,0.008,0
1150,110,20,80,99.95163034019212,547.7520143291072,9.561707219828348,351.2794996267606,2.697373753964302,0.008,0
800,90,15,110,99.59071111712387,520.418487090348,9.548695833036291,338.0762677025712,2.6734758484373122,0.008,0
1100,110,10,120,99.62561426827217,529.8259555811026,9.373787459993915,349.07784258725536,2.579732630159564,0.008,0
900,110,20,100,99.66760916966739,563.5998494847746,9.299268107798072,349.1045150197297,2.7097891546297608,0.019451202537819852,0
1100,110,10,90,99.60777506104866,509.1358707521903,9.644247221178913,347.0445220476409,2.6555629097382556,0.03622296961379338,0
950,110,30,120,100.0,530.4839616372001,9.51210868358274,367.3979629249037,2.8291160931185435,0.008,0
1050,100,25,80,99.9757712710573,523.3658866052255,10.018375852272598,348.27762686384915,2.856627267220788,0.04,0
1050,110,25,90,100.0,535.5258919090724,10.012478475532326,350.763791186893,2.743872161663932,0.008,0
1000,100,10,90,99.57037418978761,559.7891190348074,9.48246255314739,344.85447752963887,2.5614639217203607,0.008720667276839008,0
1150,100,25,120,99.92007567022974,563.6812440259358,9.816184637684497,357.63057291895126,2.8305031411028354,0.008557103614347129,0
950,120,20,80,99.80764238499529,537.3255352290558,9.250103965306069,347.12524312152635,2.6733895236491363,0.04,0
800,120,25,90,99.83773595934049,547.3212823423131,9.633516671624498,353.96191574744313,2.7051301820873808,0.008,0
1200,100,30,90,99.92193067473812,589.5130411423116,9.924432642093628,356.0503453583902,2.791895349076341,0.04,0
950,120,20,80,99.7296373356877,537.4077448800435,9.261662039772409,347.11952480083687,2.653106110320392,0.008,0
800,100,10,90,98.50448557527027,520.9828033804561,9.022279486571904,340.6757264490374,2.45164157916242,0.04,0
1200,120,25,110,99.99180421192342,554.8627761648814,10.089381132507622,343.7824955038441,2.732302317513797,0.04,0
800,100,30,80,100.0,533.3751457178329,10.146848632485728,349.70789090334705,2.655633386446657,0.008,0
800,90,25,120,99.53545614852355,560.9879397424465,9.632436684121,348.46634390329604,2.551112274827659,0.008938985770950373,0
1000,100,25,100,99.97635682053868,516.5398507811078,9.665646023831988,361.1086953301203,2.678388719656959,0.008,0
850,120,30,80,100.0,533.824330091025,10.036704187674067,365.2935675779313,2.76589923277624,0.008,0
1000,90,10,100,98.94407255367548,562.8644243663979,9.915846945695566,341.436270833228,2.4964042154422423,0.03506416149709192,0
1050,120,15,120,99.34306261510075,556.9526100065088,9.70490876150717,357.54366582792466,2.6890258554609825,0.03236120621369916,0
1150,90,30,100,99.9751441220015,583.0157028239383,9.978119812552226,364.9729077043312,2.8706947592952496,0.04,0
1050,90,30,90,100.0,570.8472083997893,9.983925099841105,356.00549160267184,2.7496024425074874,0.04,0
1000,90,20,100,99.74959066829666,516.6586003614425,9.826778197901477,360.29969888798365,2.7548225572327385,0.008,0
800,80,20,120,99.82760791658941,536.8868553077323,9.44801582883379,352.7090564564149,2.7548342890686786,0.021070301532675036,0
900,120,25,90,99.89090546213897,532.3065528594561,9.765847754672297,344.60986420667285,2.834958408008539,0.04,0
1150,100,20,100,100.0,558.28338787264,9.730355009655097,362.45424774295714,2.747560530356607,0.01761632120982036,0
950,90,30,110,100.0,533.5420977172232,9.968315189427535,366.0776598049139,2.842271522909149,0.008,0
1050,90,30,90,100.0,570.8313558941215,10.033479026412579,356.0753258106029,2.8779763020848237,0.008,0
1000,90,25,120,99.96817426093979,532.7620735173715,9.773877804695145,349.9376859535572,2.6547323418735043,0.008,0
900,110,20,100,99.72382320866734,563.5367853398142,9.386985629846858,349.09112668363167,2.630232062094562,0.008,0
850,120,25,90,99.88965697655456,560.6770429709195,9.332344924999616,356.02311561419396,2.7356329310749494,0.04,0
1000,80,25,80,99.95486123104047,517.549509165146,9.711447821551388,342.0780452829531,2.5530920888787287,0.008,0
1200,100,30,90,99.98615838624161,589.504876074821,9.917423062209801,356.05390047528977,2.7949667582970465,0.04,0
1000,120,15,90,99.24050144678273,546.6589958909835,9.40939492345679,340.5611224138802,2.4057103726647573,0.04,0
1050,100,25,80,99.98925018396417,523.3282595989878,10.076131433952584,348.2609409072606,2.7852683713049733,0.04,0
850,90,30,90,100.0,565.9643330221775,9.873390729813673,368.55536462148456,2.837888136310587,0.008,0
950,90,10,80,99.63330473231096,550.6573800327594,9.880392556948635,355.59420597908763,2.4923699101231853,0.034717890101496146,0
900,120,25,90,99.94212770486318,532.3157711679002,9.781747620078459,344.65032187188655,2.842740359058784,0.008,0
850,80,25,90,99.75191592000232,528.9316091074902,9.936124938325486,357.2322046182572,2.621048599725535,0.026845457917354335,0
1050,80,15,110,99.54329050714219,551.1980390858963,9.924602833480286,346.11155441019895,2.7091772255003,0.04,0
800,120,30,110,99.94824426888373,532.475974381382,9.258619595068751,353.3442721216001,2.8688987536718424,0.008,0
1100,90,25,120,100.0,561.9178309391052,9.578306869600867,355.0329588097195,2.624277142535357,0.03650480647705834,0
1150,100,30,80,100.0,527.8366440147288,10.000128851135095,359.8187835092272,2.761828332423935,0.04,0
850,120,30,80,100.0,533.8420219365449,9.994517313700248,365.3288476728659,2.7895020721597135,0.008,0
1100,120,25,110,99.98165069203105,546.2712861568936,9.757097637871428,350.92857765789665,2.731322166766259,0.008,0
900,120,30,120,100.0,558.718607158259,9.513906594418208,366.07852121347804,2.5506486510749733,0.04,0
1000,110,30,110,100.0,554.7651436433767,10.15333639669168,356.2614606670872,2.7494872921578093,0.027526699543352445,0
1000,100,10,110,98.92853451337255,516.206920311473,10.035294840366731,338.3468480496411,2.4843765505330198,0.04,0
1150,100,10,120,99.63433229034533,554.9120123065319,9.735619513632216,349.08016481940507,2.6607077411101923,0.04,0
1050,110,10,100,99.33225880152104,545.1120093907685,9.345133862267584,345.01265936567927,2.7038855994594413,0.04,0
900,110,20,100,99.61087666373115,563.516956900906,9.396136803574068,349.10846007768146,2.786993342901905,0.04,0
800,100,20,90,99.32421802043868,557.9141550740917,9.182810373244944,361.3264053699956,2.423711233322543,0.03941144349894817,0
1150,100,25,120,100.0,563.6875687457695,9.895330128906842,357.76581641173993,2.8460582211153773,0.008,0
800,90,10,120,99.37136453678427,515.8560836956289,9.306429672853033,340.49605544625194,2.5310685241996986,0.028528177563347898,0
800,110,15,90,99.25851512536434,536.1989356430156,9.342447413272772,352.87014324142046,2.451565399504802,0.008,0
800,90,15,100,99.19743152468047,548.4440383977006,9.1220200994217,342.0757767777541,2.706443376978238,0.04,0
1200,110,10,110,99.58122054390094,531.5022328864999,9.912778963761818,344.2172977678739,2.672924558762956,0.008,0
1200,110,10,110,99.59726845488127,531.460798556992,9.931808515135655,344.17916796115867,2.5205725030496025,0.04,0
900,120,15,80,99.16230319907524,540.8789502173803,9.311579450032914,357.20733016903193,2.581084547453103,0.008,0
1150,100,30,80,99.94170947226675,527.7941389966996,9.99283415273157,359.88306039370275,2.7597280901873424,0.008,0
800,110,30,80,100.0,537.6352166472013,10.094850641950188,348.77040794853275,2.7378175198669115,0.008,0
800,120,30,110,99.99658937765726,532.458340278826,9.47579320329429,353.2479769244463,2.8948739087988753,0.03235921026768214,0
800,110,15,90,99.42073427817654,536.1346910586676,9.387993215676847,352.73007743352986,2.4841270756953886,0.04,0
1150,110,20,80,99.91191841930542,547.6996672091171,9.62448993832067,351.24186330065686,2.6532439639419287,0.008,0
1000,110,10,100,99.57973296205947,528.5269319543173,9.658136297895059,342.9752106571142,2.491595042892204,0.04,0
850,120,15,100,99.06430067464402,566.1393105583948,9.251379586391888,345.87657292026813,2.617002530212936,0.04,0
950,110,30,120,99.98952432882692,530.5009221130267,9.445043520571643,367.3735181386505,2.846272825327092,0.04,0
1200,90,30,100,100.0,579.921165365561,9.94659510597224,367.53675847856636,2.639281888394375,0.008,0
850,110,30,110,99.8952536851912,563.9846086057065,9.986269414478862,360.40233135892,2.7217410152844304,0.008,0
850,90,25,120,99.79939150532478,556.6166471631826,9.521777890712528,355.1920033435831,2.635108885774559,0.04,0
800,90,10,120,99.35633446906212,515.798802717593,9.3124383423408,340.49804880697377,2.4223386028986504,0.022164195118515886,0
1000,90,20,90,99.80695045723128,550.7924397093286,9.84515102673407,349.4282262429132,2.8109057106563258,0.029314481384533228,0
1200,110,10,110,99.60249154318704,531.497021416709,9.925921676287002,344.2331808084714,2.4989625947168803,0.0159619978282867,0
950,90,30,120,100.0,536.6182286792314,9.89688584252318,371.7133160996225,2.690586774583653,0.04,0
950,80,10,110,99.06717427745868,527.2518131931031,9.890134058756923,348.7997772065714,2.6578995121647586,0.04,0
1100,80,25,120,100.0,562.9454258469672,10.118742137097245,364.13089274348795,2.739071773188262,0.04,0
900,80,10,80,99.00097440888185,530.8927250594447,9.85578654757482,359.753910358431,2.443690829011669,0.023515256581091055,0
1000,120,15,80,99.4680153570092,536.9252826913681,9.247835546137846,342.11514630288036,2.553381831569788,0.008,0
950,110,30,120,99.9522728839463,530.5131284792917,9.476322305687097,367.38464014773757,2.9056530531014295,0.027779920837661357,0
900,90,10,110,99.17726083194337,524.2161595292301,9.926314782908847,341.87411892604274,2.69032545398381,0.008,0
1000,100,15,80,99.32289569154774,509.9856896733362,9.529857216560508,347.20823463525437,2.744422127021341,0.022087317868859955,0
1200,100,15,90,99.67243812119501,565.5611747821624,9.523588270198898,352.3369125137666,2.573412071513866,0.008,0
1100,110,10,120,99.60515819684422,529.8060887994596,9.506338455922894,349.080011319744,2.500827665847713,0.04,0
1150,80,20,110,99.92184974856116,539.4181115169515,9.519706412985235,344.6175475163778,2.595202462390346,0.04,0
1100,80,25,120,100.0,562.846514502918,10.07096622212493,364.2233834651185,2.620509653209136,0.04,0
850,90,25,120,99.81946079328318,556.6850581558347,9.529756383897686,355.2357754123113,2.6371590318673306,0.04,0
1100,90,20,90,99.96232734216967,546.3618475652689,9.393576406662193,346.12607355894795,2.702934855245093,0.008,0
900,120,30,120,99.97778008955218,558.7248484007115,9.423071469036667,366.1269082088665,2.608091471538899,0.008,0
800,90,20,120,99.53350929333072,554.7218031166315,9.543464783804685,342.99172179511083,2.6550684837947527,0.04,0
1150,100,10,120,99.5609064276179,554.8735542290607,9.747867787068254,349.08341980616916,2.567803593979477,0.008,0
950,80,30,120,100.0,559.0405131908059,10.137329100086621,371.5604964094594,2.7201640111174057,0.008,0
900,110,10,100,99.27148523754663,516.738834826299,9.701593464254465,356.2968784418145,2.760709581749539,0.04,0
1100,110,10,120,99.6329970036322,529.8529918083906,9.418178130324272,349.12693926370605,2.47555038736905,0.04,0
800,120,25,90,99.82854203633752,547.3762419153035,9.716193111845422,353.9720363077643,2.6028472077188143,0.01268611420994254,0
900,120,25,90,99.85186429784682,532.3311896778893,9.769876557854593,344.67132527612546,2.791736338107877,0.04,0
850,110,30,110,99.97492359381758,563.9354039370252,10.109839723933465,360.31398912389136,2.7840953975176173,0.02169402283712033,0
1100,80,10,120,99.49878770844504,532.5139397234751,9.304180980984011,343.0860755032246,2.5042844581704906,0.04,0
1150,120,25,90,100.0,548.5991771204052,9.544882615891371,363.02250182013495,2.7824611916759676,0.01046238732498087,0
1150,90,30,110,99.8794446053277,567.7941121964438,9.709167535836166,370.5953389306001,2.92,0.010876815761595982,0
950,120,10,80,98.70472010240071,564.0489275413848,9.619901664803267,348.24331060456467,2.6581070674402043,0.008,0
1200,100,20,110,99.93177311417209,551.5665709153521,9.658708267154827,354.88954938729006,2.646756766205985,0.03330026698545123,0
1150,90,30,100,99.98431984038254,583.005313840448,9.992955856816101,365.0721519982911,2.8073219071859734,0.008,0
1200,100,20,110,99.96631527711286,551.5445968219684,9.629796128179974,354.8505848920315,2.6449338288760327,0.008,0
1050,120,15,110,99.72247244114463,571.8963755302838,9.906865144564556,353.6908163565823,2.6811192239890564,0.04,0
900,120,15,80,99.32411964525835,540.8902999875502,9.167202248290815,357.1857203197965,2.533920016272849,0.03292930182895499,0
900,80,10,80,99.09178773469222,530.6970455529303,9.712046311573317,359.8777840345885,2.562125065903325,0.008,0
950,80,20,80,99.88360997187641,548.9825076941206,9.83663044705646,345.7511272179324,2.6554789817448623,0.04,0
1000,90,10,100,99.01490669000806,562.9177728511559,9.960410955233684,341.3347491535678,2.483712328065862,0.04,0
800,90,15,100,99.17183782470543,548.4801633347035,9.07724536717344,342.0774589335449,2.635221059804151,0.04,0
1100,90,10,80,99.31082249908225,517.6268519952116,9.718851976525539,350.7529712383194,2.5027109908517886,0.008,0
1150,100,10,120,99.6419687122215,554.9900612461283,9.711317650881522,349.1035874914115,2.6503942666013143,0.04,0
1100,80,25,120,99.92912335343568,562.834863789555,10.158982279256586,364.15553820536036,2.5810166535755426,0.008,0
1100,80,20,100,99.8876997880311,516.1021621355367,9.511932955433306,354.28253888009556,2.7667082389333877,0.008,0
900,80,30,100,99.95921271041423,565.0145847172929,9.605685712653315,362.9568500595784,2.6853062018043254,0.04,0
1050,100,20,90,99.83965441441498,542.1209734676283,9.834795621921334,342.4426550129806,2.7104040226946013,0.018466785193208657,0
850,90,30,120,100.0,534.1436250041696,10.158214897588225,367.36295953107015,2.723914603618504,0.008,0
800,110,30,80,100.0,537.5910745497597,10.069894782729172,348.814448153034,2.545689256537955,0.008,0
